Center,Left,Right,Steering,Throttle,Brake,Speed
F:\Car_data\IMG\center_2020_02_10_23_26_35_883.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_35_883.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_35_883.jpg,0,0,0,7.89E-06
F:\Car_data\IMG\center_2020_02_10_23_26_35_949.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_35_949.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_35_949.jpg,0,0,0,3.11E-06
F:\Car_data\IMG\center_2020_02_10_23_26_36_018.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_36_018.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_36_018.jpg,0,0,0,5.23E-06
F:\Car_data\IMG\center_2020_02_10_23_26_36_087.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_36_087.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_36_087.jpg,0,0,0,1.41E-05
F:\Car_data\IMG\center_2020_02_10_23_26_36_158.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_36_158.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_36_158.jpg,0,0,0,2.49E-06
F:\Car_data\IMG\center_2020_02_10_23_26_36_229.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_36_229.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_36_229.jpg,0,0,0,1.38E-05
F:\Car_data\IMG\center_2020_02_10_23_26_36_297.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_36_297.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_36_297.jpg,0,0,0,1.78E-05
F:\Car_data\IMG\center_2020_02_10_23_26_36_364.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_36_364.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_36_364.jpg,0,0,0,2.43E-06
F:\Car_data\IMG\center_2020_02_10_23_26_36_434.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_36_434.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_36_434.jpg,0,0,0,2.03E-05
F:\Car_data\IMG\center_2020_02_10_23_26_36_506.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_36_506.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_36_506.jpg,0,0,0,2.84E-06
F:\Car_data\IMG\center_2020_02_10_23_26_36_576.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_36_576.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_36_576.jpg,0,0.1363263,0,0.07809157
F:\Car_data\IMG\center_2020_02_10_23_26_36_647.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_36_647.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_36_647.jpg,0,0.3111924,0,0.2108296
F:\Car_data\IMG\center_2020_02_10_23_26_36_719.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_36_719.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_36_719.jpg,0,0.5505589,0,0.6468553
F:\Car_data\IMG\center_2020_02_10_23_26_36_787.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_36_787.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_36_787.jpg,0,0.7271046,0,1.157087
F:\Car_data\IMG\center_2020_02_10_23_26_36_855.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_36_855.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_36_855.jpg,0,0.9751497,0,1.96422
F:\Car_data\IMG\center_2020_02_10_23_26_36_922.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_36_922.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_36_922.jpg,0,1,0,2.670316
F:\Car_data\IMG\center_2020_02_10_23_26_36_992.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_36_992.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_36_992.jpg,0,1,0,3.606497
F:\Car_data\IMG\center_2020_02_10_23_26_37_061.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_37_061.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_37_061.jpg,-0.15,1,0,4.308148
F:\Car_data\IMG\center_2020_02_10_23_26_37_134.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_37_134.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_37_134.jpg,0,1,0,5.224414
F:\Car_data\IMG\center_2020_02_10_23_26_37_206.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_37_206.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_37_206.jpg,0,1,0,5.915565
F:\Car_data\IMG\center_2020_02_10_23_26_37_275.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_37_275.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_37_275.jpg,-0.05,1,0,6.833705
F:\Car_data\IMG\center_2020_02_10_23_26_37_344.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_37_344.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_37_344.jpg,-0.2,1,0,7.510035
F:\Car_data\IMG\center_2020_02_10_23_26_37_415.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_37_415.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_37_415.jpg,0,1,0,8.397651
F:\Car_data\IMG\center_2020_02_10_23_26_37_488.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_37_488.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_37_488.jpg,0,1,0,9.070995
F:\Car_data\IMG\center_2020_02_10_23_26_37_559.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_37_559.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_37_559.jpg,-0.2,1,0,9.956781
F:\Car_data\IMG\center_2020_02_10_23_26_37_628.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_37_628.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_37_628.jpg,-0.35,1,0,10.59685
F:\Car_data\IMG\center_2020_02_10_23_26_37_701.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_37_701.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_37_701.jpg,0,1,0,11.56551
F:\Car_data\IMG\center_2020_02_10_23_26_37_775.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_37_775.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_37_775.jpg,-0.2,1,0,12.37522
F:\Car_data\IMG\center_2020_02_10_23_26_37_845.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_37_845.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_37_845.jpg,-0.35,1,0,12.97003
F:\Car_data\IMG\center_2020_02_10_23_26_37_916.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_37_916.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_37_916.jpg,-0.5500001,1,0,13.69886
F:\Car_data\IMG\center_2020_02_10_23_26_37_989.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_37_989.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_37_989.jpg,-0.7,1,0,14.37966
F:\Car_data\IMG\center_2020_02_10_23_26_38_064.jpg,F:\Car_data\IMG\left_2020_02_10_23_26_38_064.jpg,F:\Car_data\IMG\right_2020_02_10_23_26_38_064.jpg,0,1,0,15.13539
